officerid,sId,count,dept,name
ScottMSendrickAtlanticCity,0,62,"Atlantic City, Atlantic County",Scott Sendrick
JamesDayVineland,0,59,"Vineland, Cumberland County",James Day
JosephDixonMillville,0,58,"Millville, Cumberland County",Joseph Dixon
RyanPDuffyPaterson,0,57,"Paterson, Passaic County",Ryan Duffy
PatrickJoyceLongBranch,0,52,"Long Branch, Monmouth County",Patrick Joyce
HuanMLeAtlanticCity,0,51,"Atlantic City, Atlantic County",Huan Le
MichaelOldroydAtlanticCity,0,50,"Atlantic City, Atlantic County",Michael Oldroyd
BrandonGallozaCamden,0,48,"Camden, Camden County",Brandon Galloza
NicholasMaslanichVineland,0,47,"Vineland, Cumberland County",Nicholas Maslanich
RalphMercedPassaic,1,47,"Passaic, Passaic County",Ralph Merced
KamilJWarraichAsburyPark,0,46,"Asbury Park, Monmouth County",Kamil Warraich
GeorgeLiasElizabeth,0,45,"Elizabeth, Union County",George Lias
RafaelBengocheaPerthAmboy,0,44,"Perth Amboy, Middlesex County",Rafael Bengochea
ILLEGIBLEILLEGIBLEFranklin,1,44,"Franklin, Somerset County",Illegible Illegible
SheehanMilesTrenton,0,43,"Trenton, Mercer County",Sheehan Miles
JoseSantiagoPerthAmboy,1,43,"Perth Amboy, Middlesex County",Jose Santiago
PeterMCalabreseAtlanticCity,2,43,"Atlantic City, Atlantic County",Peter Calabrese
LouisPlataniaVineland,3,43,"Vineland, Cumberland County",Louis Platania
AvetteAHarperAtlanticCity,4,43,"Atlantic City, Atlantic County",Avette Harper
TimothyDeLouiseVineland,0,42,"Vineland, Cumberland County",Timothy DeLouise
EdwardODonnellLindenwold,1,42,"Lindenwold, Camden County",Edward ODonnell
RobertWBelliVoorhees,0,40,"Voorhees, Camden County",Robert Belli
JamesRConatyHowell,1,40,"Howell, Monmouth County",James Conaty
JosephMDAmbrosioTrenton,0,39,"Trenton, Mercer County",Joseph DAmbrosio
ChristopherFixlerVineland,1,39,"Vineland, Cumberland County",Christopher Fixler
JamesWJonesGlassboro,2,39,"Glassboro, Gloucester County",James Jones
JosephOlivoCamden,3,39,"Camden, Camden County",Joseph Olivo
AnthonyAlosiAtlanticCity,4,39,"Atlantic City, Atlantic County",Anthony Alosi
FrancoSydnorAtlanticCity,0,38,"Atlantic City, Atlantic County",Franco Sydnor
JoshuaJAdieyefehGlassboro,1,38,"Glassboro, Gloucester County",Joshua Adieyefeh
SeanADeShaderAsburyPark,0,37,"Asbury Park, Monmouth County",Sean DeShader
JosephAliseoElizabeth,0,36,"Elizabeth, Union County",Joseph Aliseo
JeffreyProfittMillville,1,36,"Millville, Cumberland County",Jeffrey Profitt
BrianArmstrongVineland,2,36,"Vineland, Cumberland County",Brian Armstrong
MatthewLaielliVineland,3,36,"Vineland, Cumberland County",Matthew Laielli
AdamMColferMiddletown,4,36,"Middletown, Monmouth County",Adam Colfer
RobertoCancelPassaic,0,35,"Passaic, Passaic County",Roberto Cancel
LouisWeberNewark,1,35,"Newark, Essex County",Louis Weber
JasonSikoraVineland,2,35,"Vineland, Cumberland County",Jason Sikora
EdgardoEVegaLakewood,3,35,"Lakewood, Ocean County",Edgardo Vega
RafaelECamposPaterson,4,35,"Paterson, Passaic County",Rafael Campos
MatthewKGanzerNewBrunswick,0,34,"New Brunswick, Middlesex County",Matthew Ganzer
GavinPhillipsMillville,1,34,"Millville, Cumberland County",Gavin Phillips
ColtGibsonMillville,2,34,"Millville, Cumberland County",Colt Gibson
SpencerSmithWildwood,3,34,"Wildwood, Cape May County",Spencer Smith
BrianColeVineland,4,34,"Vineland, Cumberland County",Brian Cole
AdamCWorthTomsRiver,0,33,"Toms River, Ocean County",Adam Worth
DanielTEliasenGlassboro,1,33,"Glassboro, Gloucester County",Daniel Eliasen
RobertDCirriWestNewYork,2,33,"West New York, Hudson County",Robert Cirri
WalterPizaElizabeth,3,33,"Elizabeth, Union County",Walter Piza
AlexanderBlancoElizabeth,4,33,"Elizabeth, Union County",Alexander Blanco
JoshLVadellAtlanticCity,5,33,"Atlantic City, Atlantic County",Josh Vadell
AdamShawVineland,6,33,"Vineland, Cumberland County",Adam Shaw
LazaroPlaElizabeth,7,33,"Elizabeth, Union County",Lazaro Pla
MichaelARizzoLinden,8,33,"Linden, Union County",Michael Rizzo
BrianHambrechtAtlanticCity,9,33,"Atlantic City, Atlantic County",Brian Hambrecht
EdwardJShieldsElizabeth,10,33,"Elizabeth, Union County",Edward Shields
JamesHellerElizabeth,11,33,"Elizabeth, Union County",James Heller
JohnJLeshkoRoselle,0,32,"Roselle, Union County",John Leshko
JesseOliver-LoganAtlanticCity,1,32,"Atlantic City, Atlantic County",Jesse Oliver-Logan
AlexanderGonzalezElizabeth,2,32,"Elizabeth, Union County",Alexander Gonzalez
GarryStoweAtlanticCity,3,32,"Atlantic City, Atlantic County",Garry Stowe
AndrewFegleyCamden,4,32,"Camden, Camden County",Andrew Fegley
PaulMCraigLumberton,5,32,"Lumberton, Burlington County",Paul Craig
NicholasABerardisAtlanticCity,6,32,"Atlantic City, Atlantic County",Nicholas Berardis
FrancisJSangiAsburyPark,7,32,"Asbury Park, Monmouth County",Francis Sangi
AnthonyPMassiGloucester,8,32,"Gloucester, Camden County",Anthony Massi
DarrinLoradyAtlanticCity,9,32,"Atlantic City, Atlantic County",Darrin Lorady
RyanMaddenVineland,10,32,"Vineland, Cumberland County",Ryan Madden
WilliamGMartinCamden,11,32,"Camden, Camden County",William Martin
AndrewJJaquesAtlanticCity,12,32,"Atlantic City, Atlantic County",Andrew Jaques
ZsakhiemRJamesCamden,13,32,"Camden, Camden County",Zsakhiem James
JeffreyCruzElizabeth,14,32,"Elizabeth, Union County",Jeffrey Cruz
BenjaminWLewittGloucester,0,31,"Gloucester, Camden County",Benjamin Lewitt
TimothyRKohlmyerGloucester,1,31,"Gloucester, Camden County",Timothy Kohlmyer
HerbertGonzalezElizabeth,2,31,"Elizabeth, Union County",Herbert Gonzalez
DavidGDzibelaNorthPlainfield,3,31,"North Plainfield, Somerset County",David Dzibela
EugeneLaielliAtlanticCity,4,31,"Atlantic City, Atlantic County",Eugene Laielli
MichaelAubleAtlanticCity,5,31,"Atlantic City, Atlantic County",Michael Aubie
RafaelHernandezPaterson,6,31,"Paterson, Passaic County",Rafael Hernandez
WilliamEllerGloucesterCity,0,30,"Gloucester City, Camden County",William Eller
DavidCanicaNorthPlainfield,1,30,"North Plainfield, Somerset County",David Canica
DavisSalazarPerthAmboy,2,30,"Perth Amboy, Middlesex County",Davis Salazar
ChristopherESiboleNeptuneTownship,3,30,"Neptune Township, Monmouth County",Christopher Sibole
